2-10	419-432	near-infrared	http://maven.renci.org/NeuroBridge/neurobridge#FunctionalNearInfraredSpectroscopy[4]
2-11	433-445	spectroscopy	http://maven.renci.org/NeuroBridge/neurobridge#FunctionalNearInfraredSpectroscopy[4]
2-12	446-447	(	_
2-13	447-452	fNIRS	_
2-14	452-453	)	_
2-15	454-457	was	_
2-16	458-462	used	_
2-17	463-465	to	_
2-18	466-473	measure	_
2-19	474-477	PFC	_
2-20	478-488	activation	_
2-21	488-489	,	_
2-22	490-502	specifically	_
2-23	503-509	levels	_
2-24	510-512	of	_
2-25	513-523	oxygenated	_
2-26	524-525	(	_
2-27	525-528	HBO	_
2-28	528-529	)	_
2-29	530-533	and	_
2-30	534-546	deoxygenated	_
2-31	547-548	(	_
2-32	548-551	HBR	_
2-33	551-552	)	_
2-34	553-563	hemoglobin	_
2-35	563-564	,	_
2-36	565-567	in	_
2-37	568-576	children	http://maven.renci.org/NeuroBridge/neurobridge#AlcoholRelatedNeurodevelopmentalDisorder[5]
2-38	577-581	with	http://maven.renci.org/NeuroBridge/neurobridge#AlcoholRelatedNeurodevelopmentalDisorder[5]
2-39	582-585	PAE	http://maven.renci.org/NeuroBridge/neurobridge#AlcoholRelatedNeurodevelopmentalDisorder[5]
2-40	586-587	(	_
2-41	587-588	n	_
2-42	588-589	=	_
2-43	589-591	18	_
2-44	591-592	)	_
2-45	593-601	relative	_
2-46	602-604	to	_
2-47	605-614	typically	http://maven.renci.org/NeuroBridge/neurobridge#NoKnownDisorder[6]
2-48	615-625	developing	http://maven.renci.org/NeuroBridge/neurobridge#NoKnownDisorder[6]
2-49	626-634	Controls	http://maven.renci.org/NeuroBridge/neurobridge#NoKnownDisorder[6]
2-50	635-636	(	_
2-51	636-637	n	_
2-52	637-638	=	_
2-53	638-640	12	_
2-54	640-641	)	_
2-55	642-645	and	_
2-56	646-647	a	_
2-57	648-656	Clinical	http://maven.renci.org/NeuroBridge/neurobridge#NeurodevelopmentalDisorder[7]
2-58	657-665	Contrast	http://maven.renci.org/NeuroBridge/neurobridge#NeurodevelopmentalDisorder[7]
2-59	666-671	group	http://maven.renci.org/NeuroBridge/neurobridge#NeurodevelopmentalDisorder[7]
2-60	672-676	with	http://maven.renci.org/NeuroBridge/neurobridge#NeurodevelopmentalDisorder[7]
2-61	677-682	other	http://maven.renci.org/NeuroBridge/neurobridge#NeurodevelopmentalDisorder[7]
2-62	683-701	neurodevelopmental	http://maven.renci.org/NeuroBridge/neurobridge#NeurodevelopmentalDisorder[7]
2-63	702-704	or	http://maven.renci.org/NeuroBridge/neurobridge#NeurodevelopmentalDisorder[7]
2-64	705-715	behavioral	http://maven.renci.org/NeuroBridge/neurobridge#NeurodevelopmentalDisorder[7]
2-65	716-724	problems	http://maven.renci.org/NeuroBridge/neurobridge#NeurodevelopmentalDisorder[7]
2-66	725-726	(	_
2-67	726-727	n	_
2-68	727-728	=	_
2-69	728-730	14	_
2-70	730-731	)	_
2-71	731-732	.	_
